site,n.plot,cod.sev,north,west,slope,aspect,elev.m,tran.size,transect,species,sp.name,origen,veg.cov,cov.50N,cov.50E,cov.50S,cov.50W,cov.140N,cov.140E,cov.140S,cov.140W
CM,1,H,-3875700,-7141727,8,270,1612,large,north,aca.pin,Acaena pinnatifida,native,3,59,59,45,55,56,60,45,54
CM,1,H,-3875700,-7141727,8,270,1612,large,north,epi.tet,Epilobium tetragonum,exotic,5,59,59,45,55,56,60,45,54
CM,1,H,-3875700,-7141727,8,270,1612,large,north,ber.mic,Berberis microphylla,native,4,59,59,45,55,56,60,45,54
CM,1,H,-3875700,-7141727,8,270,1612,large,north,leu.the,Leucheria thermarum,native,3,59,59,45,55,56,60,45,54
CM,1,H,-3875700,-7141727,8,270,1612,large,north,fwd,fine woody debris,NA,85,59,59,45,55,56,60,45,54
CM,1,H,-3875700,-7141727,8,270,1612,large,east,bare.gr,bare ground,NA,20,50,42,57,30,44,48,53,26
CM,1,H,-3875700,-7141727,8,270,1612,large,east,fwd,fine woody debris,NA,80,50,42,57,30,44,48,53,26
CM,1,H,-3875700,-7141727,8,270,1612,large,south,ber.mic,Berberis microphylla,native,10,34,58,60,47,40,62,43,36
CM,1,H,-3875700,-7141727,8,270,1612,large,south,epi.tet,Epilobium tetragonum,exotic,5,34,58,60,47,40,62,43,36
CM,1,H,-3875700,-7141727,8,270,1612,large,south,bare.gr,bare ground,NA,20,34,58,60,47,40,62,43,36
CM,1,H,-3875700,-7141727,8,270,1612,large,south,fwd,fine woody debris,NA,65,34,58,60,47,40,62,43,36
CM,1,H,-3875700,-7141727,8,270,1612,large,west,epi.tet,Epilobium tetragonum,exotic,5,43,48,46,33,50,48,51,34
CM,1,H,-3875700,-7141727,8,270,1612,large,west,fwd,fine woody debris,NA,90,43,48,46,33,50,48,51,34
CM,1,H,-3875700,-7141727,8,270,1612,large,west,bare.gr,bare ground,NA,5,43,48,46,33,50,48,51,34
CM,2,H,-3878995,-7149815,18,348,1237,large,north,epi.tet,Epilobium tetragonum,exotic,30,39,46,22,31,39,37,22,35
CM,2,H,-3878995,-7149815,18,348,1237,large,north,fwd,fine woody debris,NA,30,39,46,22,31,39,37,22,35
CM,2,H,-3878995,-7149815,18,348,1237,large,north,bare.gr,bare ground,NA,40,39,46,22,31,39,37,22,35
CM,2,H,-3878995,-7149815,18,348,1237,large,east,epi.tet,Epilobium tetragonum,exotic,20,29,33,23,20,31,35,23,17
CM,2,H,-3878995,-7149815,18,348,1237,large,east,air.car,Aira caryophyllea,exotic,5,29,33,23,20,31,35,23,17
CM,2,H,-3878995,-7149815,18,348,1237,large,east,cir.vul,Cirsium vulgare,exotic,1,29,33,23,20,31,35,23,17
CM,2,H,-3878995,-7149815,18,348,1237,large,east,fwd,fine woody debris,NA,54,29,33,23,20,31,35,23,17
CM,2,H,-3878995,-7149815,18,348,1237,large,east,bare.gr,bare ground,NA,20,29,33,23,20,31,35,23,17
