ID,Year,Avg ADI,Max ADI,Min ADI,SVI1,SVI3,SVI4,SVI,MDI
38182019,2019,74.83333333,100,43,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
66832017,2017,66.14285714,93,49,0.281248276,0.281334483,0.50802069,0.375465517,14.16
1932020,2020,73.85714286,86,60,0.530916667,0.093941667,0.610875,0.513091667,14.16
80992020,2020,46.5,83,27,0.233686957,0.196252174,0.383752174,0.25236087,14.16
92412019,2019,85.1,97,70,0.71088,0.08204,0.60966,0.62868,14.16
31892017,2017,51.8125,88,35,0.520988889,0.158866667,0.426077778,0.414422222,14.16
22612019,2019,65.13333333,90,42,-20.12283663,-16.09514568,-24.2851358,-28.37673745,15.39
20272020,2020,84.6,99,62,-35.23665595,-23.3116881,-94.64645238,-94.70366905,15.39
81022017,2017,75.33333333,96,38,0.281248276,0.281334483,0.50802069,0.375465517,14.16
88982019,2019,69,84,52,0.520988889,0.158866667,0.426077778,0.414422222,14.16
57822017,2017,71.83870968,100,36,0.281248276,0.281334483,0.50802069,0.375465517,14.16
35822017,2017,51.8125,88,35,0.520988889,0.158866667,0.426077778,0.414422222,15.39
71132021,2021,75.33333333,96,38,0.281248276,0.281334483,0.50802069,0.375465517,14.16
48272019,2019,34.46153846,96,15,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
47702019,2019,42.375,95,17,-16.84582286,-16.71692314,-19.66273686,-19.6968,14.16
77642018,2018,82.83333333,94,66,0.568536364,0.120554545,0.512072727,0.508172727,14.16
4292019,2019,56.5,87,39,-35.23665595,-23.3116881,-94.64645238,-94.70366905,15.39
4452020,2020,83.88888889,97,58,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
34092019,2019,58.13333333,100,37,0.459538,0.15345,0.390582,0.377176,14.16
52432020,2020,74.77272727,100,52,0.491384615,0.126715385,0.580538462,0.468,15.39
45942018,2018,75.33333333,96,38,0.281248276,0.281334483,0.50802069,0.375465517,14.16
78842021,2021,61.58823529,81,47,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
30552019,2019,84.6,99,62,-35.23665595,-23.3116881,-94.64645238,-94.70366905,15.39
73102017,2017,75.57894737,95,47,0.6481625,0.0942,0.51075,0.5544,14.16
75392019,2019,87.125,97,77,0.71088,0.08204,0.60966,0.62868,15.39
45622019,2019,63.47058824,88,43,0.281248276,0.281334483,0.50802069,0.375465517,14.16
66632019,2019,60,86,49,0.281248276,0.281334483,0.50802069,0.375465517,15.39
60882018,2018,37.75,49,28,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
14782020,2020,81.55555556,100,49,-14.36058806,-14.49820224,-14.44270075,-14.38701269,14.16
22922017,2017,61.48275862,100,26,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
3842018,2018,55.67741935,92,22,0.233686957,0.196252174,0.383752174,0.25236087,14.16
44562021,2021,51.28571429,98,10,0.338725806,0.222064516,0.459270968,0.3231,14.69
54622019,2019,84.6,99,62,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
142021,2021,43.42307692,79,19,-16.84582286,-16.71692314,-19.66273686,-19.6968,14.16
91832018,2018,46.5,83,27,0.233686957,0.196252174,0.383752174,0.25236087,15.39
6532018,2018,76.56666667,100,35,0.459538,0.15345,0.390582,0.377176,14.16
42842018,2018,59.56521739,90,28,-16.84582286,-16.71692314,-19.66273686,-19.6968,15.39
32462019,2019,73.60714286,93,51,0.320495238,0.160247619,0.459319048,0.325161905,14.16
44712019,2019,61.9375,99,38,0.281248276,0.281334483,0.50802069,0.375465517,14.16
57062020,2020,85.75,100,64,-14.36058806,-14.49820224,-14.44270075,-14.38701269,14.16
5692018,2018,83.42307692,100,66,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
26592017,2017,70.52173913,96,42,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
47902019,2019,82,93,76,0.432283333,0.07975,0.568616667,0.432433333,14.16
69742021,2021,69.9,100,35,0.459538,0.15345,0.390582,0.377176,14.16
25862018,2018,61.92307692,81,44,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
15192018,2018,77.13333333,98,41,-35.23665595,-23.3116881,-94.64645238,-94.70366905,15.39
17992019,2019,47.25,71,22,0.233686957,0.196252174,0.383752174,0.25236087,14.16
28462017,2017,74.77272727,100,52,0.491384615,0.126715385,0.580538462,0.468,14.16
30442020,2020,83.88888889,97,58,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
12832018,2018,73.60714286,93,51,0.320495238,0.160247619,0.459319048,0.325161905,14.16
55132019,2019,81.23529412,100,45,-16.84582286,-16.71692314,-19.66273686,-19.6968,15.39
17342017,2017,63.4,90,34,-14.36058806,-14.49820224,-14.44270075,-14.38701269,14.16
46302021,2021,71.02702703,99,33,0.453062025,0.35074557,0.419365823,0.431679747,14.69
2862019,2019,55.67741935,92,22,0.233686957,0.196252174,0.383752174,0.25236087,14.16
16892017,2017,38.91304348,98,16,-16.84582286,-16.71692314,-19.66273686,-19.6968,14.16
9232019,2019,86.42857143,100,63,0.488591803,0.451765574,0.481355738,0.491429508,14.16
45312017,2017,75.33333333,96,38,0.281248276,0.281334483,0.50802069,0.375465517,15.39
66102019,2019,42.5,76,18,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
71102021,2021,51.2173913,96,2,-16.84582286,-16.71692314,-19.66273686,-19.6968,14.16
70322019,2019,59.45,86,24,-20.12283663,-16.09514568,-24.2851358,-28.37673745,15.39
71942017,2017,55.67741935,92,22,0.233686957,0.196252174,0.383752174,0.25236087,14.16
10332017,2017,42.5,76,18,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
93392018,2018,68.25,89,21,0.468933333,0.073683333,0.597366667,0.472016667,14.16
20162017,2017,75.33333333,96,38,0.281248276,0.281334483,0.50802069,0.375465517,14.16
9752018,2018,84.6,99,62,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
63232021,2021,77.375,89,63,0.518866667,0.202722222,0.501355556,0.463585185,14.16
63422018,2018,77,96,40,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
54362018,2018,42.5,76,18,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
82422020,2020,71.83870968,100,36,0.281248276,0.281334483,0.50802069,0.375465517,14.16
33272019,2019,61.48275862,100,26,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
26522020,2020,37.625,57,16,-16.84582286,-16.71692314,-19.66273686,-19.6968,14.16
23492017,2017,38.95,68,17,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
7842019,2019,74.83333333,100,43,-20.12283663,-16.09514568,-24.2851358,-28.37673745,15.39
21342019,2019,77.375,89,63,0.518866667,0.202722222,0.501355556,0.463585185,14.16
80222017,2017,66.52380952,95,39,-64.95274448,-61.73817408,-63.50336224,-64.98671904,15.39
67412018,2018,84.6,99,62,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
5362020,2020,80.18181818,96,61,0.6481625,0.0942,0.51075,0.5544,14.16
64792021,2021,26.20833333,83,6,-6.527477551,-6.517508844,-6.450836735,-6.522620408,13.73
62302020,2020,69.88888889,83,51,0.489333333,0.088433333,0.570116667,0.473,#N/A
95432017,2017,66.375,100,35,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
59352017,2017,75.44,96,46,0.381288889,0.112755556,0.484477778,0.358405556,14.16
8732021,2021,55.61111111,99,32,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
70962020,2020,55.61111111,99,32,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
17932020,2020,38.91304348,98,16,-16.84582286,-16.71692314,-19.66273686,-19.6968,14.16
47362017,2017,60.6,68,50,0.29455,0.1097375,0.3734375,0.2682125,14.16
42132020,2020,74.83333333,100,43,-20.12283663,-16.09514568,-24.2851358,-28.37673745,15.39
87922021,2021,95.625,100,88,-64.95274448,-61.73817408,-63.50336224,-64.98671904,14.16
20862017,2017,88,100,70,-14.36058806,-14.49820224,-14.44270075,-14.38701269,14.16
2722017,2017,75.33333333,96,38,0.281248276,0.281334483,0.50802069,0.375465517,14.16
19542018,2018,73.60714286,93,51,0.320495238,0.160247619,0.459319048,0.325161905,14.16
6912021,2021,86.42857143,100,63,0.488591803,0.451765574,0.481355738,0.491429508,14.16
51762017,2017,77.375,89,63,0.518866667,0.202722222,0.501355556,0.463585185,14.16
11672017,2017,51.42857143,66,36,0.233686957,0.196252174,0.383752174,0.25236087,14.16
79322021,2021,86.42857143,100,63,0.488591803,0.451765574,0.481355738,0.491429508,14.16
88162017,2017,77.5,98,60,0.520988889,0.158866667,0.426077778,0.414422222,14.16
18462019,2019,61.9375,99,38,0.281248276,0.281334483,0.50802069,0.375465517,14.16
64752018,2018,82.25,90,71,0.52862,0.09124,0.62682,0.51598,15.39
94352019,2019,51.42857143,66,36,0.233686957,0.196252174,0.383752174,0.25236087,14.16
56222021,2021,74.77272727,100,52,0.491384615,0.126715385,0.580538462,0.468,14.16
64192017,2017,83.42307692,100,66,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
47392020,2020,69.83333333,91,51,0.381288889,0.112755556,0.484477778,0.358405556,14.16
96772017,2017,37.625,57,16,-16.84582286,-16.71692314,-19.66273686,-19.6968,14.16
47812021,2021,62.76923077,79,48,-41.16701667,0.167404167,-41.20337917,-41.25182917,14.16
55502017,2017,63.4,90,34,-14.36058806,-14.49820224,-14.44270075,-14.38701269,14.16
16982017,2017,77.375,89,63,0.518866667,0.202722222,0.501355556,0.463585185,15.39
26672018,2018,79.4,90,70,0.52862,0.09124,0.62682,0.51598,14.16
64062017,2017,61.48275862,100,26,-35.23665595,-23.3116881,-94.64645238,-94.70366905,15.39
502020,2020,75.33333333,96,38,0.281248276,0.281334483,0.50802069,0.375465517,#N/A
57142019,2019,61.9375,99,38,0.281248276,0.281334483,0.50802069,0.375465517,14.16
92622021,2021,43.42307692,79,19,-16.84582286,-16.71692314,-19.66273686,-19.6968,14.16
46242018,2018,55.61111111,99,32,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
24442017,2017,47.25,71,22,0.233686957,0.196252174,0.383752174,0.25236087,14.16
48612019,2019,48.6,74,18,0.233686957,0.196252174,0.383752174,0.25236087,14.16
81762018,2018,75.33333333,96,38,0.281248276,0.281334483,0.50802069,0.375465517,15.39
18452017,2017,55.67741935,92,22,0.233686957,0.196252174,0.383752174,0.25236087,14.16
27202018,2018,47.25,71,22,0.233686957,0.196252174,0.383752174,0.25236087,14.16
43562019,2019,59.81818182,81,41,0.520988889,0.158866667,0.426077778,0.414422222,14.16
21102019,2019,73,88,55,0.520988889,0.158866667,0.426077778,0.414422222,14.16
24782018,2018,56.5,87,39,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
31442018,2018,75.35483871,100,39,0.518866667,0.202722222,0.501355556,0.463585185,14.16
20702019,2019,75.35483871,100,39,0.518866667,0.202722222,0.501355556,0.463585185,15.39
4812019,2019,84.6,99,62,-35.23665595,-23.3116881,-94.64645238,-94.70366905,15.39
3632021,2021,74.5,87,36,0.488591803,0.451765574,0.481355738,0.491429508,14.16
40352019,2019,72.77777778,84,42,0.52862,0.09124,0.62682,0.51598,14.16
60512018,2018,77.13333333,98,41,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
52522017,2017,48.6,74,18,0.233686957,0.196252174,0.383752174,0.25236087,14.16
20072019,2019,87.125,97,77,0.71088,0.08204,0.60966,0.62868,14.16
4232019,2019,80.18181818,96,61,0.6481625,0.0942,0.51075,0.5544,14.16
14872019,2019,88,100,70,-14.36058806,-14.49820224,-14.44270075,-14.38701269,14.16
21672020,2020,84.83333333,100,65,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
58032017,2017,66.14285714,93,49,0.281248276,0.281334483,0.50802069,0.375465517,14.16
20492021,2021,78.625,94,53,0.588,0.0651,0.49582,0.5049,14.16
76022019,2019,56.5,87,39,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
45432018,2018,84.6,99,62,-35.23665595,-23.3116881,-94.64645238,-94.70366905,15.39
40532018,2018,66.14285714,93,49,0.281248276,0.281334483,0.50802069,0.375465517,14.16
49722017,2017,30.5,69,3,-16.84582286,-16.71692314,-19.66273686,-19.6968,14.16
15952019,2019,76.6,91,54,0.530916667,0.093941667,0.610875,0.513091667,14.16
71722020,2020,72.81818182,100,35,-14.36058806,-14.49820224,-14.44270075,-14.38701269,14.16
13712019,2019,70.52173913,96,42,-20.12283663,-16.09514568,-24.2851358,-28.37673745,15.39
86312019,2019,68.5,89,46,0.518866667,0.202722222,0.501355556,0.463585185,14.16
15912020,2020,75.33333333,96,38,0.281248276,0.281334483,0.50802069,0.375465517,15.39
3962019,2019,77.13333333,98,41,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
23362020,2020,75.35483871,100,39,0.518866667,0.202722222,0.501355556,0.463585185,14.16
42102018,2018,51.8125,88,35,0.520988889,0.158866667,0.426077778,0.414422222,14.16
20512017,2017,86.4,100,40,-14.36058806,-14.49820224,-14.44270075,-14.38701269,15.39
45802021,2021,59.56521739,90,28,-16.84582286,-16.71692314,-19.66273686,-19.6968,15.39
8822021,2021,61.48275862,100,26,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
48792017,2017,73.60714286,93,51,0.320495238,0.160247619,0.459319048,0.325161905,15.39
16992017,2017,82,86,78,0.63055,0.2751,0.625072222,0.496166667,15.39
58132019,2019,55.27272727,79,22,0.393015385,0.096069231,0.543069231,0.392561538,14.16
9052019,2019,79.4,90,70,0.52862,0.09124,0.62682,0.51598,14.16
84972019,2019,73.60714286,93,51,0.320495238,0.160247619,0.459319048,0.325161905,14.16
10652017,2017,66.14285714,93,49,0.281248276,0.281334483,0.50802069,0.375465517,14.16
37042021,2021,65.22222222,89,38,0.518866667,0.202722222,0.501355556,0.463585185,15.39
54472020,2020,84.6,99,62,-35.23665595,-23.3116881,-94.64645238,-94.70366905,15.39
87822020,2020,53.5,66,40,-14.36058806,-14.49820224,-14.44270075,-14.38701269,14.16
76502017,2017,59.95,85,36,0.233686957,0.196252174,0.383752174,0.25236087,15.39
21902021,2021,75.35483871,100,39,0.518866667,0.202722222,0.501355556,0.463585185,14.16
7632019,2019,51.8125,88,35,0.520988889,0.158866667,0.426077778,0.414422222,14.16
57652020,2020,66.85714286,100,31,0.320495238,0.160247619,0.459319048,0.325161905,14.16
512020,2020,56.15,100,25,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
16122019,2019,81.23529412,100,45,-16.84582286,-16.71692314,-19.66273686,-19.6968,14.16
2432017,2017,65.10526316,99,25,-14.36058806,-14.49820224,-14.44270075,-14.38701269,14.16
80012018,2018,78.5,92,56,0.52862,0.09124,0.62682,0.51598,14.16
30592018,2018,63.4,90,34,-14.36058806,-14.49820224,-14.44270075,-14.38701269,14.16
38452020,2020,55.61111111,99,32,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
66602017,2017,75.35483871,100,39,0.518866667,0.202722222,0.501355556,0.463585185,14.16
1422021,2021,75.35483871,100,39,0.518866667,0.202722222,0.501355556,0.463585185,15.39
3672019,2019,61.58823529,81,47,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
4252021,2021,55.67741935,92,22,0.233686957,0.196252174,0.383752174,0.25236087,14.16
68282020,2020,52.69565217,80,26,0.281248276,0.281334483,0.50802069,0.375465517,14.16
83492019,2019,75.35483871,100,39,0.518866667,0.202722222,0.501355556,0.463585185,14.16
21022019,2019,65.10526316,99,25,-14.36058806,-14.49820224,-14.44270075,-14.38701269,14.16
24582017,2017,44.83333333,52,36,0.233686957,0.196252174,0.383752174,0.25236087,15.39
5942018,2018,56.39130435,96,21,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
9612020,2020,55.67741935,92,22,0.233686957,0.196252174,0.383752174,0.25236087,14.16
14612020,2020,75.33333333,96,38,0.281248276,0.281334483,0.50802069,0.375465517,14.16
20052017,2017,66.52380952,95,39,-64.95274448,-61.73817408,-63.50336224,-64.98671904,15.39
33442019,2019,84.6,99,62,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
62412018,2018,77.13333333,98,41,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
2612019,2019,42.375,95,17,-16.84582286,-16.71692314,-19.66273686,-19.6968,14.16
29752018,2018,50.5,69,30,0.190316667,0.098541667,0.251535,0.151908333,14.16
532020,2020,60.83333333,92,19,-41.16701667,0.167404167,-41.20337917,-41.25182917,14.16
77062018,2018,73.60714286,93,51,0.320495238,0.160247619,0.459319048,0.325161905,14.16
72942019,2019,75.33333333,96,38,0.281248276,0.281334483,0.50802069,0.375465517,14.16
22020,2020,86.42857143,100,63,0.488591803,0.451765574,0.481355738,0.491429508,14.16
24092017,2017,42.375,95,17,-16.84582286,-16.71692314,-19.66273686,-19.6968,15.39
28452019,2019,82.18181818,99,61,0.6481625,0.0942,0.51075,0.5544,15.39
20302017,2017,61.48275862,100,26,-35.23665595,-23.3116881,-94.64645238,-94.70366905,15.39
78132018,2018,83.25,94,66,0.568536364,0.120554545,0.512072727,0.508172727,14.16
9062018,2018,42.5,76,18,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
88912018,2018,66.59375,96,31,0.320495238,0.160247619,0.459319048,0.325161905,15.39
20952017,2017,75.33333333,96,38,0.281248276,0.281334483,0.50802069,0.375465517,14.16
